,method,workers,N,delay,pi,delay_per_point
1061,multiprocessing,12,55600000,1.088280200958252,3.060849336957955,1.957338490932108e-08
1062,threading,13,55600000,40.69133448600769,3.06071079235424,7.318585339210017e-07
1063,multiprocessing,13,55600000,1.045619010925293,3.0609583517199046,1.8806097318800233e-08
1064,threading,14,55600000,40.233927965164185,3.0606349344872235,7.236317979346077e-07
1065,multiprocessing,14,55600000,0.9567399024963379,3.061039018125879,1.7207552203171543e-08
1066,threading,15,55600000,40.893815755844116,3.0606775983490877,7.355002833784913e-07
1067,multiprocessing,15,55600000,0.9002881050109863,3.0608737353257083,1.6192232104514143e-08
1068,threading,16,55600000,40.659911155700684,3.06071435800786,7.312933661097245e-07
1069,multiprocessing,16,55600000,0.88759446144104,3.0605943837608915,1.5963929162608634e-08
1070,threading,17,55600000,40.77000856399536,3.06096518212455,7.332735353236576e-07
1071,multiprocessing,17,55600000,0.8165616989135742,3.0608600592927866,1.4686361491251335e-08
1072,threading,18,55600000,40.765830278396606,3.0606472799894755,7.331983863020973e-07
1073,multiprocessing,18,55600000,0.8076109886169434,3.060774686014532,1.4525377493110493e-08
1074,threading,19,55600000,40.80996489524841,3.0607890449773087,7.339921743749715e-07
1075,multiprocessing,19,55600000,1.156829595565796,3.060574667991946,2.08062876900323e-08
1076,threading,20,55600000,40.83360743522644,3.0605906245061476,7.344173999141447e-07
1077,multiprocessing,20,55600000,1.1682403087615967,3.060867463221578,2.1011516344633034e-08
1078,threading,21,55600000,39.572367429733276,3.060560099933196,7.117332271534762e-07
1079,multiprocessing,21,55600000,1.222620964050293,3.0610785512610894,2.198958568435779e-08
1080,threading,22,55600000,40.704869747161865,3.060822644810386,7.321019738698177e-07
1081,multiprocessing,22,55600000,1.0826609134674072,3.0608987101592917,1.9472318587543295e-08
1082,threading,23,55600000,41.00949239730835,3.060739986280313,7.375807985127401e-07
1083,multiprocessing,23,55600000,1.108804702758789,3.0607300022137047,1.9942530625158078e-08
1084,threading,24,55600000,41.0346462726593,3.0605547081105358,7.380332063427932e-07
1085,multiprocessing,24,55600000,1.1043708324432373,3.0607445160430204,1.9862784756173332e-08
1086,threading,25,55600000,40.804691314697266,3.060625387211421,7.338973258039077e-07
1087,multiprocessing,25,55600000,1.070894479751587,3.0607452739759853,1.9260692081863075e-08
1088,threading,26,55600000,40.899982213974,3.0607691306577816,7.35611190898813e-07
1089,multiprocessing,26,55600000,1.0381686687469482,3.0606635792963623,1.8672098358758063e-08
1090,threading,27,55600000,40.66616678237915,3.060759262722228,7.3140587738092e-07
1091,multiprocessing,27,55600000,0.983464241027832,3.061001480252549,1.768820577388187e-08
1092,threading,28,55600000,40.89588236808777,3.060918480022033,7.35537452663449e-07
1093,multiprocessing,28,55600000,0.9750733375549316,3.0608340062121178,1.7537290243793734e-08
1094,threading,29,55600000,40.66886830329895,3.0610062556251223,7.314544658866718e-07
